metal,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor,fresh_comp,recycle_comp,refrig,logTOF
Fe,450.0,14.747862448195542,425.0,30.0,1.987850088125384,0.008199057522817372,0.054227901566293264,14.599367363252169,0.08606812585426296,0.0,-3.9247555255830378
Fe,455.0,14.805184030884828,425.0,30.0,1.9486244331710207,0.008037267957667467,0.05392204748064819,14.658938126647191,0.08428658879932042,0.0,-3.916100039929106
Fe,460.0,14.861928652807523,425.0,30.0,1.91075933366294,0.007881090119696428,0.05362398591471733,14.717857830415387,0.0825657463577233,0.0,-3.907577885903874
Fe,465.0,14.918106975603237,425.0,30.0,1.8741901330793687,0.007730257327556202,0.05333342180080403,14.7761405519375,0.08090274453737727,0.0,-3.899185543351889
Fe,470.0,14.973729410586762,425.0,30.0,1.8388560467670712,0.007584518869751305,0.053050074875724024,14.833799916896112,0.07929489994517316,0.0,-3.8909196284093737
Fe,475.0,15.028806123441171,425.0,30.0,1.8046998829964942,0.007443638854106952,0.05277367875408202,14.890849118396044,0.07773968743693874,0.0,-3.882776886380933
Fe,480.0,15.083347039140028,425.0,30.0,1.7716677875101154,0.00730739515413689,0.05250398007147573,14.947300935083636,0.07623472883077956,0.0,-3.874754185098846
Fe,485.0,15.137361847007293,425.0,30.0,1.7397090092363408,0.007175578442710351,0.0522407376909197,15.00316774832717,0.07477778254649313,0.0,-3.8668485087091646
Fe,490.0,15.190860005897928,425.0,30.0,1.7087756852173472,0.007047991304968565,0.05198372196746072,15.058461558516175,0.0733667341093248,0.0,-3.8590569518635753
Fe,495.0,15.243850749447367,425.0,30.0,1.6788226429293764,0.006924447422977921,0.05173271406582628,15.113194000533339,0.07199958742522264,0.0,-3.851376714279599
Fe,500.0,15.2963430913587,425.0,30.0,1.6498072183926935,0.0068047708255089545,0.0514875053266711,15.167376358448866,0.07067445675765413,0.0,-3.8438050956415717
Fe,505.0,15.348345830699616,425.0,30.0,1.6216890886306445,0.006688795196999417,0.05124789667737976,15.221019579483757,0.06938955934147914,0.0,-3.836339490816357
Fe,510.0,15.399867557185301,425.0,30.0,1.594430117184962,0.006576363240368948,0.051013698083768357,15.274134287285202,0.06814320857596158,0.0,-3.8289773853601092
Fe,515.0,15.450916656427637,425.0,30.0,1.56799421152544,0.006467326088893105,0.05078472803937243,15.326730794554368,0.06693380774500243,0.0,-3.821716351294512
Fe,520.0,15.501501315133504,425.0,30.0,1.542347191307032,0.006361542762818507,0.05056081308930367,15.378819115064102,0.06575984421727828,0.0,-3.814554043132467
Fe,525.0,15.551483393466505,450.0,30.0,0.5145327788553613,0.0021222344061108517,0.03925255509187263,15.43040897510162,0.07969962886690084,0.0,-3.3377849433727222
Fe,530.0,15.601000284132498,450.0,30.0,0.505961731971415,0.0020868823909603973,0.03912479390869694,15.481509824368839,0.07827878346400138,0.0,-3.3304895667542262
Fe,535.0,15.650082654520919,450.0,30.0,0.49764099174597576,0.0020525627870082034,0.03899976617209134,15.532130846370961,0.07689947919085838,0.0,-3.323288043118808
