purge,economic_order,economic_winner,rank_of_upstream_winner_1wtRe_250C,rank_of_5wtRe_250C,spearman,kendall,pairwise_inversions,NPC_1 wt% Re | 200 C,NPC_5 wt% Re | 200 C,NPC_1 wt% Re | 250 C,NPC_5 wt% Re | 250 C
0.093,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1308.0,1119.34,1251.96,1425.22
0.094,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1312.63,1121.73,1255.72,1427.53
0.095,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1317.25,1124.12,1259.47,1429.84
0.096,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1321.88,1126.5,1263.23,1432.14
0.097,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1326.5,1128.89,1266.99,1434.45
0.098,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1331.12,1131.28,1270.74,1436.76
0.099,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1335.74,1133.66,1274.5,1439.06
0.1,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1340.36,1136.05,1278.25,1441.37
0.101,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1344.98,1138.43,1282.01,1443.67
0.102,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1349.6,1140.82,1285.76,1445.98
0.103,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1354.22,1143.2,1289.51,1448.28
0.104,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1358.84,1145.59,1293.26,1450.59
0.105,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1363.46,1147.97,1297.02,1452.9
0.106,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1368.07,1150.35,1300.77,1455.2
0.107,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1372.69,1152.73,1304.52,1457.51
0.108,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1377.3,1155.12,1308.27,1459.81
0.109,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1381.92,1157.5,1312.02,1462.12
0.11,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1386.53,1159.88,1315.76,1464.42
0.111,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1391.15,1162.26,1319.51,1466.72
0.112,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1395.76,1164.64,1323.26,1469.03
0.113,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1400.37,1167.02,1327.01,1471.33
0.114,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1404.98,1169.4,1330.75,1473.64
0.115,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1409.59,1171.78,1334.5,1475.94
0.116,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1414.2,1174.16,1338.25,1478.24
0.117,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1418.81,1176.54,1341.99,1480.55
0.118,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1423.42,1178.92,1345.74,1482.85
0.119,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1428.03,1181.3,1349.48,1485.16
0.12,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1432.64,1183.68,1353.22,1487.46
0.121,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1437.24,1186.06,1356.97,1489.76
0.122,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1441.85,1188.43,1360.71,1492.06
0.123,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1446.46,1190.81,1364.45,1494.37
0.124,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1451.06,1193.19,1368.19,1496.67
0.125,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1455.67,1195.56,1371.93,1498.97
0.126,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1460.27,1197.94,1375.68,1501.27
0.127,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1464.87,1200.32,1379.42,1503.58
0.128,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1469.48,1202.69,1383.16,1505.88
0.129,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1474.08,1205.07,1386.9,1508.18
0.13,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1478.68,1207.44,1390.64,1510.48
