case,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor_base,vessel_pressure_premium,fresh_comp,recycle_comp,refrigeration,compressor_capex
Fe,535.0,21.523661092298997,450.0,30.0,0.49764099174597576,0.0020525627870082034,0.03899976617209134,0.14959534810083064,15.532130846370961,0.07689947919085838,0.0,5.723983089677244
Fe,540.0,21.58383410461388,450.0,30.0,0.489560512033352,0.0020192341580680603,0.038877384508782455,0.15010017083931007,15.582280968321824,0.07556004067415209,0.0,5.734996306111745
Fe,545.0,21.643500130652953,450.0,30.0,0.4817107567603739,0.001986857171791454,0.038757565267338284,0.15062453765829387,15.631968870592768,0.07425887847698368,0.0,5.745903421485775
Fe,550.0,21.702667667344205,450.0,30.0,0.47408266864255266,0.00195539447063469,0.03864022831929396,0.15116830874692133,15.68120299573004,0.0729944837592077,0.0,5.756706256318107
Fe,555.0,21.76134504078855,450.0,30.0,0.46666764014838563,0.001924810552098691,0.03852529687308926,0.1517313631469124,15.729991557064139,0.07176542332535361,0.0,5.7674065898269555
Fe,560.0,21.819540409853634,450.0,30.0,0.45945748652730556,0.0018950716574804682,0.0384126972998614,0.15231359802467662,15.778342546933086,0.0705703350294247,0.0,5.778006160909105
Fe,565.0,21.877261769802146,450.0,30.0,0.45244442073309055,0.001866145668442584,0.03830235897020721,0.1529149280064758,15.826263744540197,0.06940792350707013,0.0,5.788506669109753
Fe,570.0,21.934516955939504,450.0,30.0,0.44562103009001414,0.001838002010770694,0.0381942141011048,0.15353528457208537,15.8737627234657,0.0682769562084724,0.0,5.798909775581369
Fe,575.0,21.99131364726704,450.0,30.0,0.4389802545628667,0.0018106115647463933,0.038088197612253134,0.15417461550283823,15.920846858850277,0.06717625970761784,0.0,5.809217104029308
Fe,580.0,22.04765937012961,450.0,30.0,0.43251536650447586,0.0017839465816141353,0.03798424699115031,0.15483288438033663,15.967523334267671,0.06610471626594637,0.0,5.819430241642892
Fe,585.0,22.103561501847665,450.0,30.0,0.4262199517655761,0.0017579806056672732,0.03788230216628747,0.15551007013247617,16.01379914830229,0.06506126063023793,0.0,5.829550740010706
Fe,590.0,22.159027274325666,450.0,30.0,0.4200878920619665,0.0017326884015198974,0.03778230538788597,0.15620616662373982,16.059681120846914,0.06404487704648375,0.0,5.839580116019121
Fe,595.0,22.214063777632695,450.0,30.0,0.41411334850382575,0.0017080458861720882,0.03768420111566443,0.15692118228722934,16.105175899134654,0.06305459647461181,0.0,5.849519852734365
Fe,600.0,22.268677963530862,450.0,30.0,0.4082907461948251,0.001684030065487639,0.03758793591307485,0.15765513979471393,16.150289963518524,0.06208949397899647,0.0,5.859371400260066
Fe,605.0,22.32287664899561,450.0,30.0,0.40261475983302614,0.0016606189748037316,0.03749345834776243,0.15840807576569652,16.195029633011217,0.061148686306433275,0.0,5.869136176589694
Fe,610.0,22.376666519655668,450.0,30.0,0.3970803002231412,0.0016377916232996007,0.037400718897559755,0.15918004050899642,16.23940107059683,0.06023132960319,0.0,5.87881556842579
Fe,615.0,22.430054133203246,450.0,30.0,0.39168250164615404,0.0016155279419014547,0.037309669861855035,0.1599710977985634,16.283410288325864,0.05933661728746458,0.0,5.888410931987595
Fe,620.0,22.48304592274926,450.0,30.0,0.3864167100189092,0.0015938087344456928,0.03722026527789253,0.16078132468041728,16.32706315220386,0.05846377805477903,0.0,5.897923593797866
Fe,625.0,22.535648200125983,450.0,30.0,0.38127847178794894,0.0015726156318705826,0.03713246084169828,0.16161081130953242,16.37036538688376,0.0576120740085973,0.0,5.907354851450523
Fe,630.0,22.58786715913535,450.0,30.0,0.3762635235054113,0.0015519310492211659,0.03704621383333147,0.16245966081536006,16.41332258017128,0.056780798907137595,0.0,5.91670597435902
Fe,635.0,22.639708878742372,450.0,30.0,0.371367782039037,0.0015317381452695908,0.03696148304618461,0.16332798919484234,16.4559401873522,0.0559692765181151,0.0,5.9259782044857605
