failure_mode,class,description,model,tier,variant,budget_CU,n_runs,n_failed,fraction
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,anonymous,2000,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,all,35,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,200,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,250,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,300,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,500,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,800,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,1200,5,0,0.0
wrong_or_missing_reachability,decision_correctness,reachability class != unreachable (incl. not classified),gpt-5.5-2026-04-23,strong,named,2000,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,all,35,7,0.2
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,200,5,1,0.2
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,250,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,300,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,500,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,800,5,2,0.4
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,1200,5,1,0.2
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,anonymous,2000,5,3,0.6
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,all,35,3,0.08571428571428572
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,200,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,250,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,300,5,1,0.2
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,500,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,800,5,0,0.0
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,1200,5,1,0.2
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-nano-2026-03-17,weak,named,2000,5,1,0.2
llm_env_winner_disagree,decision_correctness,agent's stated winner != environment-derived winner,gpt-5.4-mini-2026-03-17,medium,anonymous,all,35,1,0.02857142857142857
